Kanji,Meaning,Radicals
欲,"desire","谷 (valley) + 欠 (lack)"
萨,"Buddhist gods or immortals","艹 (grass) + 阝 (mound) + 亠 (lid) + 八 (eight) + 厂 (cliff)"
伙,"companion","亻 (man) + 火 (fire)"
遭,"come across","辶 (walk) + 一 (one) + 曲 (crooked) + 曰 (say)"
盘,"tray","舟 (boat) + 皿 (dish)"
爸,"father","父 (father) + 巴 (greatly desire)"
扩,"expand","扌 (hand) + 广 (dotted cliff)"
盖,"cover","羊 (sheep) + 皿 (dish)"
弄,"do","王 (king) + 廾 (two hands)"
雄,"male of species","丿 (slash) + 一 (one) + 厶 (private) + 隹 (short tailed bird)"
稳,"stable","禾 (grain) + 彐 (pigs head) + 心 (heart)"
忘,"forget","亠 (lid) + 乚 (second) + 心 (heart)"
亿,"hundred million","亻 (man) + 乙 (second)"
刺,"stab","木 (tree) + 冂 (down box) + 刂 (knife)"
拥,"embrace","扌 (hand) + 用 (use)"
徒,"disciple","彳 (step) + 走 (run)"
姆,"childs governess","女 (woman) + 母 (mother)"
杨,"willow","木 (tree)"
齐,"orderly","齐 (even)"
赛,"compete","宀 (roof) + 廿 + 廾 (two hands) + 贝 (shell)"
趣,"what attracts ones attention","走 (run) + 耳 (ear) + 又 (again)"
曲,"crooked","曲 (crooked)"
刀,"knife","刀 (knife)"
床,"bed","广 (dotted cliff) + 木 (tree)"
迎,"receive","辶 (walk) + 匚 (open box) + 卩 (seal)"
冰,"ice","冫 (ice) + 水 (water)"
虚,"FALSE","虍 (tiger) + 业 (profession)"
玩,"play with","王 (king) + 一 (one) + 儿 (legs)"
析,"split wood","木 (tree) + 斤 (axe)"
窗,"window","穴 (cave) + 丶 (dot) + 囗 (enclosure) + 夕 (evening)"
醒,"wake up","酉 (alcohol) + 日 (sun) + 生 (life)"
妻,"wife","一 (one) + 肀 + 女 (woman)"
透,"penetrate","辶 (walk) + 禾 (grain) + 乃 (then)"
购,"buy","贝 (shell) + 勹 (wrap) + 厶 (private)"
替,"change","一 (one) + 大 (big) + 曰 (say)"
塞,"stop up","宀 (roof) + 其 (his) + 土 (earth)"
努,"to exert","女 (woman) + 又 (again) + 力 (power)"
休,"rest","亻 (man) + 木 (tree)"
虎,"tiger","虍 (tiger) + 儿 (legs)"
扬,"scatter","扌 (hand)"
途,"way","辶 (walk) + 人 (man) + 一 (one) + 朩"
侵,"invade","亻 (man) + 彐 (pigs head) + 又 (again)"
刑,"punishment","一 (one) + 廾 (two hands) + 刂 (knife)"
绿,"green","纟 (silk) + 彐 (pigs head) + 氺"
兄,"elder brother","口 (mouth) + 儿 (legs)"
迅,"quick","辶 (walk) + 乁 (slash) + 十 (ten)"
套,"case","大 (big) + 镸"
贸,"trade","𠂎 + 卩 (seal) + 贝 (shell)"
毕,"end","比 (compare) + 十 (ten)"
唯,"only","口 (mouth) + 隹 (short tailed bird)"
谷,"valley","谷 (valley)"
轮,"wheel","车 (cart) + 人 (man) + 匕 (spoon)"
库,"armory","广 (dotted cliff) + 车 (cart)"
迹,"traces","辶 (walk) + 亦 (also)"
尤,"especially","尤 (especially)"
竞,"contend","立 (stand) + 口 (mouth) + 儿 (legs)"
街,"street","彳 (step) + 土 (earth)"
促,"urge","亻 (man) + 足 (foot)"
延,"delay","廴 (long stride) + 一 (one) + 止 (stop)"
震,"shake","雨 (rain) + 辰 (morning)"
弃,"reject","亠 (lid) + 厶 (private) + 廾 (two hands)"
甲,"armor","曰 (say) + 丨 (line)"
伟,"great","亻 (man) + 韦 (tanned leather)"
麻,"hemp","麻 (hemp)"
川,"stream","川 (river)"
申,"to state to a superior","曰 (say) + 丨 (line)"
缓,"slow","纟 (silk) + 爫 (claw) + 丿 (slash) + 一 (one) + 又 (again)"
潜,"hide","氵 (water) + 一 (one) + 大 (big) + 曰 (say)"
闪,"flash","门 (gate) + 人 (man)"
售,"sell","隹 (short tailed bird) + 口 (mouth)"
灯,"lantern","火 (fire) + 一 (one) + 亅 (hook)"
针,"needle","钅 + 十 (ten)"
哲,"wise","扌 (hand) + 斤 (axe) + 口 (mouth)"
络,"enmesh","纟 (silk) + 夂 (go) + 口 (mouth)"
抵,"resist","扌 (hand) + 氏 (clan) + 丶 (dot)"
朱,"cinnabar","丿 (slash) + 木 (tree) + 一 (one)"
埃,"fine dust","土 (earth) + 厶 (private) + 矢 (arrow)"
抱,"embrace","扌 (hand) + 勹 (wrap) + 巳"
鼓,"drum","鼓 (drum)"
植,"plant","木 (tree) + 十 (ten) + 目 (eye) + 乚 (second)"
纯,"pure","纟 (silk) + 屯 (village)"
夏,"summer","一 (one) + 自 (self) + 夂 (go)"
忍,"endure","刀 (knife) + 丶 (dot) + 心 (heart)"
页,"page","页 (leaf)"
杰,"hero","木 (tree) + 灬 (fire)"
筑,"ancient lute","竹 (bamboo) + 工 (work) + 几 (table) + 丶 (dot)"
折,"break off","扌 (hand) + 斤 (axe)"
郑,"state in todays Henan","丷 (eight) + 一 (one) + 大 (big) + 阝 (mound)"
贝,"sea shell","贝 (shell)"
尊,"respect","丷 (eight) + 酉 (alcohol) + 寸 (inch)"
吴,"name of warring state","口 (mouth) + 一 (one) + 大 (big)"
秀,"ear of grain","禾 (grain) + 乃 (then)"
混,"to mix","氵 (water) + 日 (sun) + 比 (compare)"
臣,"minister","臣 (minister)"
雅,"elegant","牙 (fang) + 隹 (short tailed bird)"
振,"raise","扌 (hand) + 辰 (morning)"
染,"dye","氵 (water) + 九 (nine) + 木 (tree)"
盛,"abundant","丿 (slash) + 戈 (halberd) + 一 (one) + 亅 (hook) + 皿 (dish)"
怒,"anger","女 (woman) + 又 (again) + 心 (heart)"
舞,"dance","無 + 舛 (oppose)"
圆,"circle","囗 (enclosure) + 口 (mouth) + 贝 (shell)"
搞,"to clear","扌 (hand) + 高 (tall)"
狂,"insane","犭 (dog) + 王 (king)"
措,"place","扌 (hand) + 日 (sun)"
姓,"ones family name","女 (woman) + 生 (life)"
残,"injure","歹 (death) + 戈 (halberd)"
秋,"autumn","禾 (grain) + 火 (fire)"
培,"bank up with dirt","土 (earth) + 立 (stand) + 口 (mouth)"
迷,"bewitch","辶 (walk) + 米 (rice)"
诚,"sincere","讠 (speech) + 丿 (slash) + 戈 (halberd) + 一 (one) + 亅 (hook)"
宽,"broad","宀 (roof) + 艹 (grass) + 见 (see)"
宇,"house","宀 (roof) + 二 (two) + 亅 (hook)"
猛,"violent","犭 (dog) + 子 (child) + 皿 (dish)"
摆,"put","扌 (hand) + 罒 (net) + 土 (earth) + 厶 (private)"
梅,"plums","木 (tree) + 丿 (slash) + 一 (one) + 母 (mother)"
毁,"destroy","臼 (mortar) + 殳 (weapon)"
伸,"extend","亻 (man) + 曰 (say) + 丨 (line)"
摩,"rub","麻 (hemp) + 手 (hand)"
盟,"swear","日 (sun) + 月 (moon) + 皿 (dish)"
末,"final","木 (tree) + 一 (one)"
乃,"then","乃 (then)"
悲,"sorrow","非 (wrong) + 心 (heart)"
拍,"clap","扌 (hand) + 白 (white)"
丁,"male adult","一 (one) + 亅 (hook)"
赵,"surname","走 (run) + 乂"
硬,"hard","石 (stone) + 更 (more)"
麦,"wheat","麦 (wheat)"
蒋,"surname","艹 (grass) + 丬 (half tree trunk) + 爫 (claw) + 寸 (inch)"
操,"conduct","扌 (hand) + 口 (mouth) + 木 (tree)"
耶,"used in transliteration","耳 (ear) + 阝 (mound)"
阻,"impede","阝 (mound) + 且 (moreover)"
订,"draw up agreement","讠 (speech) + 一 (one) + 亅 (hook)"
彩,"hue","爫 (claw) + 木 (tree) + 彡 (bristle)"
抽,"draw out","扌 (hand) + 曰 (say) + 丨 (line)"
赞,"help","旡 + 贝 (shell)"
魔,"demon","麻 (hemp) + 鬼 (ghost)"
纷,"in disorder","纟 (silk) + 八 (eight) + 刀 (knife)"
沿,"follow a course","氵 (water) + 八 (eight) + 口 (mouth)"
喊,"shout","口 (mouth) + 丿 (slash) + 戈 (halberd) + 一 (one)"
违,"disobey","辶 (walk) + 韦 (tanned leather)"
妹,"younger sister","女 (woman) + 木 (tree) + 一 (one)"
浪,"wave","氵 (water) + 丶 (dot) + 艮 (stopping)"
汇,"concourse","氵 (water) + 匚 (open box)"
币,"currency","丿 (slash) + 巾 (turban)"
丰,"abundant","丰 (abundant)"
蓝,"blue","艹 (grass) + 皿 (dish)"
殊,"different","歹 (death) + 丿 (slash) + 木 (tree) + 一 (one)"
献,"offer","十 (ten) + 冂 (down box) + 丷 (eight) + 干 (dry) + 犬 (dog)"
桌,"table","卜 (divination) + 日 (sun) + 木 (tree)"
啦,"final particle of assertion","口 (mouth) + 扌 (hand) + 立 (stand)"
瓦,"tile","瓦 (tile)"
莱,"goosefoot","艹 (grass) + 米 (rice) + 一 (one)"
援,"aid","扌 (hand) + 爫 (claw) + 丿 (slash) + 一 (one) + 又 (again)"
译,"translate","讠 (speech) + 夂 (go) + 丨 (line) + 二 (two)"
夺,"take by force","大 (big) + 寸 (inch)"
汽,"steam","氵 (water) + 气 (breath)"
烧,"burn","火 (fire) + 丈 (unit of length equal 3.3 meters) + 一 (one) + 儿 (legs)"
距,"distance","足 (foot) + 巨 (large)"
裁,"cut out","戈 (halberd) + 十 (ten) + 衣 (clothes)"
偏,"inclined one side","亻 (man) + 一 (one) + 尸 (corpse)"
符,"i.d. tag","竹 (bamboo) + 亻 (man) + 寸 (inch)"
勇,"brave","龴 + 用 (use) + 力 (power)"
触,"butt","角 (horn) + 虫 (insect)"
课,"lesson","讠 (speech) + 田 (field) + 木 (tree)"
敬,"respect","艹 (grass) + 勹 (wrap) + 口 (mouth) + 攵 (rap)"
哭,"weep","口 (mouth) + 犬 (dog)"
懂,"understand","忄 (heart) + 艹 (grass) + 丿 (slash) + 十 (ten) + 里 (village)"
墙,"wall","土 (earth) + 亠 (lid) + 囗 (enclosure) + 口 (mouth)"
袭,"raid","龙 (dragon) + 衣 (clothes)"
召,"imperial decree","刀 (knife) + 口 (mouth)"
罚,"penalty","罒 (net) + 言 (speech) + 刂 (knife)"
侠,"chivalrous person","亻 (man) + 一 (one) + 大 (big) + 丷 (eight)"
厅,"hall","厂 (cliff) + 一 (one) + 亅 (hook)"
拜,"do obeisance","手 (hand) + 干 (dry)"
巧,"skillful","工 (work) + 丂"
侧,"side","亻 (man) + 贝 (shell) + 刂 (knife)"
韩,"fence","卓 (profound) + 韦 (tanned leather)"
冒,"risk","冂 (down box) + 二 (two) + 目 (eye)"
债,"debt","亻 (man) + 贝 (shell)"
曼,"long","曰 (say) + 罒 (net) + 又 (again)"
融,"melt","鬲 (cauldron) + 虫 (insect)"
惯,"habit","忄 (heart) + 毌 + 贝 (shell)"
享,"enjoy","亠 (lid) + 口 (mouth) + 子 (child)"
戴,"wear on top","戈 (halberd) + 十 (ten) + 田 (field) + 廿 + 廾 (two hands)"
童,"child","立 (stand) + 里 (village)"
犹,"like","犭 (dog) + 尤 (especially)"
乘,"ride","禾 (grain) + 爿 (half tree trunk) + 匕 (spoon)"
挂,"hang","扌 (hand) + 土 (earth)"
奖,"prize","丬 (half tree trunk) + 夕 (evening) + 大 (big)"
绍,"continue","纟 (silk) + 刀 (knife) + 口 (mouth)"
厚,"thick","厂 (cliff) + 日 (sun) + 子 (child)"
纵,"indulge in","纟 (silk) + 人 (man)"
障,"separate","阝 (mound) + 立 (stand) + 日 (sun) + 十 (ten)"
讯,"inquire","讠 (speech) + 乁 (slash) + 十 (ten)"
涉,"ford stream","氵 (water) + 止 (stop) + 𣥂"
彻,"penetrate","彳 (step) + 七 (seven) + 刀 (knife)"
刊,"publication","干 (dry) + 刂 (knife)"
丈,"unit of length equal 3.3 meters","丈 (unit of length equal 3.3 meters)"
爆,"crackle","火 (fire) + 日 (sun) + 廿 + 廾 (two hands) + 氺"
乌,"crow","乌 (crow)"
役,"service","彳 (step) + 殳 (weapon)"
描,"copy","扌 (hand) + 艹 (grass) + 田 (field)"
洗,"wash","氵 (water) + 牛 (cow) + 儿 (legs)"
玛,"agate","王 (king) + 马 (horse)"
患,"suffer","口 (mouth) + 丨 (line) + 心 (heart)"
妙,"mysterious","女 (woman) + 小 (small) + 丿 (slash)"
镜,"mirror","钅 + 立 (stand) + 見 (see)"
唱,"sing","口 (mouth) + 日 (sun) + 曰 (say)"
烦,"bother","火 (fire) + 页 (leaf)"
签,"sign","竹 (bamboo) + 人 (man) + 一 (one) + 小 (small)"
仙,"Taoist super-being","亻 (man) + 山 (mountain)"
彼,"that","彳 (step) + 皮 (skin)"
弗,"not","弓 (bow) + 刂 (knife)"
症,"disease","疒 (sickness) + 一 (one) + 止 (stop)"
仿,"imitate","亻 (man) + 方 (square)"
倾,"upset","亻 (man) + 匕 (spoon) + 页 (leaf)"
牌,"signboard","片 (slice) + 卑 (humble)"
陷,"submerge","阝 (mound) + 臼 (mortar)"
鸟,"bird","鸟 (bird)"
轰,"rumble","车 (cart) + 又 (again)"
咱,"we","口 (mouth) + 自 (self)"
菜,"vegetables","艹 (grass) + 爫 (claw) + 木 (tree)"
闭,"shut","门 (gate) + 才 (talent)"
奋,"strive","大 (big) + 田 (field)"
庆,"congratulate","广 (dotted cliff) + 大 (big)"
撤,"omit","扌 (hand) + 亠 (lid) + 厶 (private) + 月 (moon) + 攵 (rap)"
泪,"tears","氵 (water) + 目 (eye)"
茶,"tea","艹 (grass) + 人 (man) + 木 (tree)"
疾,"illness","疒 (sickness) + 矢 (arrow)"
缘,"hem","纟 (silk) + 彑 (pigs head) + 𧰨"
播,"sow","扌 (hand) + 釆 (distinguish) + 田 (field)"
朗,"clear","丶 (dot) + 艮 (stopping) + 月 (moon)"
杜,"stop","木 (tree) + 土 (earth)"
奶,"milk","女 (woman) + 乃 (then)"
季,"quarter of year","禾 (grain) + 子 (child)"
丹,"cinnabar (native HgS)","丹 (cinnabar (native HgS))"
狗,"dog","犭 (dog) + 勹 (wrap) + 口 (mouth)"
尾,"tail","尸 (corpse) + 毛 (fur)"
仪,"ceremony","亻 (man) + 乂 + 丶 (dot)"
偷,"to steal","亻 (man) + 人 (man) + 一 (one) + 月 (moon) + 刂 (knife)"
奔,"run fast","大 (big) + 十 (ten) + 廾 (two hands)"
珠,"precious stone","王 (king) + 丿 (slash) + 木 (tree) + 一 (one)"
虫,"insects","虫 (insect)"
驻,"to be stationed at","马 (horse) + 丶 (dot) + 王 (king)"
孔,"opening","子 (child) + 乚 (second)"
宜,"suitable","宀 (roof) + 且 (moreover)"
艾,"artemisia","艹 (grass) + 乂"
桥,"bridge","木 (tree) + 丿 (slash) + 大 (big) + 儿 (legs)"
淡,"weak","氵 (water) + 火 (fire)"
翼,"wings","羽 (feather) + 田 (field) + 廿 + 廾 (two hands)"
恨,"hatred","忄 (heart) + 艮 (stopping)"
繁,"complicated","丿 (slash) + 一 (one) + 母 (mother) + 攵 (rap) + 糸 (silk)"
寒,"cold","宀 (roof) + 廿 + 廾 (two hands) + 冫 (ice)"
伴,"companion","亻 (man) + 半 (half)"
叹,"sigh","口 (mouth) + 又 (again)"
旦,"dawn","日 (sun) + 一 (one)"
愈,"more and more","人 (man) + 一 (one) + 月 (moon) + 刂 (knife) + 心 (heart)"
潮,"tide","氵 (water) + 卓 (profound) + 月 (moon)"
粮,"food","米 (rice) + 丶 (dot) + 艮 (stopping)"
缩,"contract","纟 (silk) + 宀 (roof) + 亻 (man) + 一 (one) + 白 (white)"
罢,"cease","罒 (net) + 土 (earth) + 厶 (private)"
聚,"assemble","耳 (ear) + 又 (again) + 乑"
径,"narrow path","彳 (step) + 又 (again) + 土 (earth)"
恰,"just","忄 (heart) + 人 (man) + 一 (one) + 口 (mouth)"
挑,"a load carried on the shoulders","扌 (hand) + 兆 (omen)"
袋,"pocket","亻 (man) + 弋 (shoot) + 衣 (clothes)"
灰,"ashes","厂 (cliff) + 火 (fire)"
捕,"arrest","扌 (hand) + 甫 (begin)"
徐,"slowly","彳 (step) + 人 (man) + 一 (one) + 朩"
珍,"precious","王 (king) + 人 (man) + 彡 (bristle)"
幕,"curtain","艹 (grass) + 日 (sun) + 大 (big) + 巾 (turban)"
映,"project","日 (sun) + 冂 (down box) + 大 (big)"
裂,"split","歹 (death) + 刂 (knife) + 衣 (clothes)"
泰,"great","𡗗 + 氺"
隔,"separate","阝 (mound) + 鬲 (cauldron)"
启,"open","丶 (dot) + 尸 (corpse) + 口 (mouth)"
尖,"sharp","小 (small) + 大 (big)"
忠,"loyalty","口 (mouth) + 丨 (line) + 心 (heart)"
累,"tired","田 (field) + 糸 (silk)"
炎,"flame","火 (fire)"
暂,"temporary","车 (cart) + 斤 (axe) + 日 (sun)"
估,"merchant","亻 (man) + 十 (ten) + 口 (mouth)"
泛,"to drift","氵 (water) + 丿 (slash) + 之 (marks preceding phrase as modifier of following phrase)"
荒,"wasteland","艹 (grass) + 亠 (lid) + 乚 (second) + 川 (river)"
偿,"repay","亻 (man) + 小 (small) + 二 (two) + 厶 (private)"
横,"across","木 (tree) + 黄 (yellow)"
拒,"ward off with hand","扌 (hand) + 巨 (large)"
瑞,"felicitous omen","王 (king) + 山 (mountain) + 而 (and)"
忆,"remember","忄 (heart) + 乙 (second)"
孤,"orphan","子 (child) + 瓜 (melon)"
鼻,"nose","鼻 (nose)"
闹,"quarrel","门 (gate) + 亠 (lid) + 巾 (turban)"
羊,"sheep","羊 (sheep)"
呆,"dull","口 (mouth) + 木 (tree)"
厉,"whetstone","厂 (cliff) + 万 (ten thousand)"
衡,"measure","彳 (step)"
胞,"womb","月 (moon) + 勹 (wrap) + 巳"
零,"zero","雨 (rain) + 人 (man) + 一 (one) + 龴"
穷,"poor","穴 (cave) + 力 (power)"
舍,"house","人 (man) + 一 (one) + 十 (ten) + 口 (mouth)"
码,"number","石 (stone) + 马 (horse)"
赫,"bright","赤 (red)"
婆,"old woman","氵 (water) + 皮 (skin) + 女 (woman)"
魂,"soul","二 (two) + 厶 (private) + 鬼 (ghost)"
灾,"calamity","宀 (roof) + 火 (fire)"
洪,"vast","氵 (water) + 廿 + 廾 (two hands)"
腿,"legs","月 (moon) + 辶 (walk) + 艮 (stopping)"
胆,"gall bladder","月 (moon) + 日 (sun) + 一 (one)"
津,"ferry","氵 (water) + 聿 (brush)"
俗,"social customs","亻 (man) + 谷 (valley)"
辩,"dispute","辛 (bitter) + 讠 (speech)"
胸,"breast","月 (moon) + 勹 (wrap) + 凵 (open box) + 乂"
晓,"dawn","日 (sun) + 丈 (unit of length equal 3.3 meters) + 一 (one) + 儿 (legs)"
劲,"strong","又 (again) + 工 (work) + 力 (power)"
贫,"poor","八 (eight) + 刀 (knife) + 贝 (shell)"
仁,"humaneness","亻 (man) + 二 (two)"
偶,"accidentally","亻 (man) + 田 (field) + 禸 (track)"
辑,"gather up","车 (cart) + 口 (mouth) + 耳 (ear)"
邦,"nation","丰 (abundant) + 阝 (mound)"
恢,"restore","忄 (heart) + 厂 (cliff) + 火 (fire)"
赖,"rely","木 (tree) + 口 (mouth) + 贝 (shell)"
圈,"to circle","囗 (enclosure) + 龹 + 卩 (seal)"
摸,"gently touch with hand","扌 (hand) + 艹 (grass) + 日 (sun) + 大 (big)"
仰,"raise the head to look","亻 (man) + 匚 (open box) + 卩 (seal)"
润,"soft","氵 (water) + 门 (gate) + 王 (king)"
堆,"heap","土 (earth) + 隹 (short tailed bird)"
碰,"collide","石 (stone) + 丷 (eight) + 亚 (Asia)"
艇,"small boat","舟 (boat) + 廴 (long stride) + 丿 (slash) + 士 (scholar)"
稍,"little","禾 (grain) + 小 (small) + 月 (moon)"
迟,"late","辶 (walk) + 尸 (corpse)"
辆,"numerary adjunct for vehicles","车 (cart) + 两 (two)"
废,"abrogate","广 (dotted cliff) + 发 (issue)"
净,"clean","冫 (ice) + 𠂊 + 肀"
凶,"culprit","凵 (open box) + 乂"
署,"public office","罒 (net) + 土 (earth) + 丿 (slash) + 日 (sun)"
壁,"partition wall","辛 (bitter) + 土 (earth)"
御,"drive","彳 (step) + 𦈢 + 卩 (seal)"
奉,"offer","𡗗 + 丨 (line) + 二 (two)"
旋,"revolve","方 (square) + 人 (man) + 疋 (bolt of cloth)"
冬,"winter","夂 (go) + 冫 (ice)"
矿,"mine","石 (stone) + 广 (dotted cliff)"
抬,"lift","扌 (hand) + 厶 (private) + 口 (mouth)"
蛋,"eggs","疋 (bolt of cloth) + 虫 (insect)"
晨,"early morning","日 (sun) + 辰 (morning)"
伏,"crouch","亻 (man) + 犬 (dog)"
吹,"blow","口 (mouth) + 欠 (lack)"
鸡,"chicken","又 (again) + 鸟 (bird)"
倍,"times","亻 (man) + 立 (stand) + 口 (mouth)"
糊,"paste","米 (rice) + 十 (ten) + 口 (mouth) + 月 (moon)"
秦,"feudal state of Qin","𡗗 + 禾 (grain)"
盾,"shield","十 (ten) + 目 (eye)"
杯,"cup","木 (tree) + 不 (no)"
租,"rent","禾 (grain) + 且 (moreover)"
骑,"ride horseback","马 (horse) + 大 (big) + 口 (mouth) + 一 (one) + 亅 (hook)"
乏,"lack","丿 (slash) + 之 (marks preceding phrase as modifier of following phrase)"
隆,"prosperous","阝 (mound) + 夂 (go) + 生 (life)"
诊,"examine patient","讠 (speech) + 人 (man) + 彡 (bristle)"
奴,"slave","女 (woman) + 又 (again)"
摄,"take in","扌 (hand) + 耳 (ear) + 又 (again)"
丧,"mourning","丧 (mourning)"
污,"filthy","氵 (water) + 一 (one) + 丂"
渡,"cross","氵 (water) + 广 (dotted cliff) + 廿 + 又 (again)"
旗,"banner","方 (square) + 人 (man) + 其 (his)"
甘,"sweetness","甘 (sweet)"
耐,"endure","而 (and) + 寸 (inch)"
凭,"lean on","亻 (man) + 丿 (slash) + 士 (scholar) + 几 (table)"
扎,"pull up","扌 (hand) + 乚 (second)"
抢,"plunder","扌 (hand) + 人 (man) + 㔾"
绪,"end of thread","纟 (silk) + 土 (earth) + 丿 (slash) + 日 (sun)"
粗,"rough","米 (rice) + 且 (moreover)"
肩,"shoulders","一 (one) + 尸 (corpse) + 月 (moon)"
梁,"bridge","氵 (water) + 刀 (knife) + 丷 (eight) + 木 (tree)"
幻,"illusion","幺 (short thread)"
菲,"fragrant","艹 (grass) + 非 (wrong)"
皆,"all","比 (compare) + 白 (white)"
碎,"break","石 (stone) + 亠 (lid) + 人 (man) + 十 (ten)"
宙,"time as concept","宀 (roof) + 曰 (say) + 丨 (line)"
叔,"fathers younger brother","上 (top) + 小 (small) + 又 (again)"
岩,"cliff","山 (mountain) + 石 (stone)"
荡,"pond","艹 (grass) + 氵 (water)"
综,"arrange threads for weaving","纟 (silk) + 宀 (roof) + 示 (showing)"
爬,"crawl","爪 (claw) + 巴 (greatly desire)"
荷,"lotus","艹 (grass) + 亻 (man) + 口 (mouth) + 一 (one) + 亅 (hook)"
悉,"know","釆 (distinguish) + 心 (heart)"
蒂,"peduncle or stem of plants","艹 (grass) + 亠 (lid) + 八 (eight) + 巾 (turban)"
返,"return","辶 (walk) + 又 (again)"
井,"well","井 (well)"
壮,"big","丬 (half tree trunk) + 士 (scholar)"
薄,"thin","艹 (grass) + 氵 (water) + 甫 (begin) + 寸 (inch)"
悄,"silent","忄 (heart) + 小 (small) + 月 (moon)"
扫,"sweep","扌 (hand) + 彐 (pigs head)"
敏,"fast","丿 (slash) + 一 (one) + 母 (mother) + 攵 (rap)"
碍,"obstruct","石 (stone) + 日 (sun) + 寸 (inch)"
殖,"breed","歹 (death) + 十 (ten) + 目 (eye) + 乚 (second)"
详,"detailed","讠 (speech) + 羊 (sheep)"
迪,"enlighten","辶 (walk) + 曰 (say) + 丨 (line)"
矛,"spear","矛 (spear)"
霍,"quickly","雨 (rain) + 隹 (short tailed bird)"
允,"to grant","厶 (private) + 儿 (legs)"
幅,"piece","巾 (turban) + 一 (one) + 口 (mouth) + 田 (field)"
撒,"release","扌 (hand) + 攵 (rap)"
剩,"leftovers","禾 (grain) + 爿 (half tree trunk) + 匕 (spoon) + 刂 (knife)"
凯,"triumphant","山 (mountain) + 己 (oneself) + 几 (table)"
颗,"grain","田 (field) + 木 (tree) + 页 (leaf)"
骂,"accuse","口 (mouth) + 马 (horse)"
赏,"reward","小 (small) + 冂 (down box) + 囗 (enclosure) + 贝 (shell)"
液,"sap","氵 (water) + 亠 (lid) + 亻 (man) + 夂 (go) + 丶 (dot)"
番,"to take turns","釆 (distinguish) + 田 (field)"
箱,"case","竹 (bamboo) + 木 (tree) + 目 (eye)"
贴,"paste to","贝 (shell) + 卜 (divination) + 口 (mouth)"
漫,"overflow of water","氵 (water) + 曰 (say) + 罒 (net) + 又 (again)"
酸,"tart","酉 (alcohol) + 厶 (private) + 儿 (legs) + 夂 (go)"
郎,"gentleman","丶 (dot) + 艮 (stopping) + 阝 (mound)"
腰,"waist","月 (moon) + 覀 (west) + 女 (woman)"
舒,"open up","人 (man) + 一 (one) + 十 (ten) + 口 (mouth) + 龴 + 亅 (hook)"
眉,"eyebrows","尸 (corpse) + 丨 (line) + 目 (eye)"
忧,"sad","忄 (heart) + 尤 (especially)"
浮,"to float","氵 (water) + 爫 (claw) + 子 (child)"
辛,"bitter","辛 (bitter)"
恋,"love","亦 (also) + 心 (heart)"
餐,"eat","食 (eat)"
吓,"scare","口 (mouth) + 一 (one) + 卜 (divination)"
挺,"to stand upright","扌 (hand) + 廴 (long stride) + 丿 (slash) + 士 (scholar)"
励,"strive","厂 (cliff) + 万 (ten thousand) + 力 (power)"
辞,"words","舌 (tongue) + 辛 (bitter)"
艘,"counter for ships","舟 (boat) + 臼 (mortar) + 丨 (line) + 又 (again)"
键,"door bolt","钅 + 廴 (long stride) + 聿 (brush)"
伍,"five","亻 (man) + 五 (five)"
峰,"peak","山 (mountain) + 夂 (go) + 丰 (abundant)"
尺,"Chinese measure approx. foot","尸 (corpse)"
昨,"yesterday","日 (sun) + 乍 (first time)"
黎,"surname","入 (enter) + 水 (water)"
辈,"generation","非 (wrong) + 车 (cart)"
贯,"a string of 1000 coins","毌 + 贝 (shell)"
侦,"spy","亻 (man) + 卜 (divination) + 贝 (shell)"
滑,"slip","氵 (water) + 骨 (bone)"
券,"certificate","龹 + 刀 (knife)"
崇,"esteem","山 (mountain) + 宀 (roof) + 示 (showing)"
扰,"disturb","扌 (hand) + 尤 (especially)"
宪,"constitution","宀 (roof) + 牛 (cow) + 儿 (legs)"
绕,"entwine","纟 (silk) + 丈 (unit of length equal 3.3 meters) + 一 (one) + 儿 (legs)"
趋,"hasten","走 (run) + 彐 (pigs head)"
慈,"kind","䒑 + 幺 (short thread) + 心 (heart)"
乔,"tall","丿 (slash) + 大 (big) + 儿 (legs)"
阅,"examine","门 (gate) + 八 (eight) + 口 (mouth) + 儿 (legs)"
汗,"perspiration","氵 (water) + 干 (dry)"
枝,"branches","木 (tree) + 支 (branch)"
拖,"drag","扌 (hand) + 丿 (slash) + 一 (one) + 乜 + 丨 (line)"
墨,"ink","黑 (black) + 土 (earth)"
胁,"ribs","月 (moon) + 力 (power) + 丷 (eight)"
插,"insert","扌 (hand) + 丿 (slash) + 十 (ten) + 臼 (mortar)"
箭,"arrow","竹 (bamboo) + 止 (stop) + 月 (moon) + 刂 (knife)"
腊,"year end sacrifice","月 (moon) + 日 (sun)"
粉,"powder","米 (rice) + 八 (eight) + 刀 (knife)"
泥,"mud","氵 (water) + 尸 (corpse) + 匕 (spoon)"
氏,"clan","氏 (clan)"
彭,"name of ancient country","十 (ten) + 豆 (bean) + 彡 (bristle)"
拔,"uproot","扌 (hand) + 犬 (dog) + 丿 (slash)"
骗,"swindle","马 (horse) + 一 (one) + 尸 (corpse)"
凤,"male phoenix","几 (table) + 又 (again)"
慧,"bright","丰 (abundant) + 彐 (pigs head) + 心 (heart)"
媒,"go-between","女 (woman) + 甘 (sweet) + 木 (tree)"
