Kanji,Meaning,Radicals
専,Specialty,Cross + Rice Paddy + Measurement
留,Detain,Private + Sword + Rice Paddy
阪,"Heights, Slope",Building + Anti
曜,"Weekday, Day of the Week",Sun + Wolverine + Turkey
取,Take,Ear + Stool
守,Protect,Roof + Measurement
証,"Evidence, Proof",Say + Correct
門,"Gate, Gates",Gate
浴,Bathe,Tsunami + Valley
保,"Preserve, Guarantee",Leader + Mouth + Tree
危,Dangerous,Prison + Cliff + Snake
箱,Box,Bamboo + Tree + Eye
政,"Politics, Government",Correct + Winter
荷,Luggage,Flowers + Leader + Lip Ring
面,"Face, Surface",Face
冒,Dare,Sun + Eye
品,"Product, Article, Goods",Products
急,Hurry,Prison + Wolverine + Heart
関,"Related, Connected",Gate + Horns + Heaven
真,Reality,Pope + Ground + Fins
弁,"Dialect, Speech",Private + Twenty
治,"Cure, Heal, Reign, Rule",Tsunami + Machine
冗,"Superfluous, Unnecessary, Uselessness",Forehead + Table
典,Rule,Music + Fins
園,"Garden, Park",Mouth + Zombie
係,Connection,Leader + Ground + Thread
遠,Far,Treadmill + Zombie
書,"Write, Writing",Brush + Sun
府,Government,Mullet + Attach
笑,Laugh,Bamboo + Heaven
幸,Happiness,Lid + Spicy
側,Side,Leader + Shellfish + Knife
説,Theory,Say + Guard
原,"Original, Fundamental, Plain, Field",original
底,Bottom,Mullet + Clan + Ground
無,Nothing,Nothing
堂,"Hall, Public Chamber",Viking + Mouth + Dirt
官,Government,Roof + Bear
常,"Normal, Ordinary",Viking + Mouth + Towel
梅,"Ume, Japanese Plum",Tree + Gun + Window
識,"Discerning, Discriminating, Know",Say + Sound + Drunkard
塩,Salt,Dirt + Gun + Mouth + Plate
非,"Injustice, Negative, Mistake",Criminal
栄,"Prosperity, Flourish",Viking + Tree
果,Fruit,Fruit
兵,Soldier,Axe + Ground + Fins
警,"Warn, Admonish",Poem + Winter + Say
敗,Failure,Shellfish + Winter
恋,Romance,Red + Heart
覚,"Memorize, Awake",Viking + See
結,"Bind, Tie",Thread + Good Luck
席,Seat,Hick + Towel
幻,Illusion,Trash + Cape
署,"Government Office, Political Office",Net + Someone
因,Cause,Mouth + Big
